                                                 3                                                  4                                                  8 
                                                 3                                                  5                                                 52 
                                                 3                                                  9                                                 53 
                                                 0                                                  1                                                  2 
                                                 0                                                  7                                                 16 
                                                 1                                                  7                                                 60 
                                                 7                                                 18                                                 62 
                                                 4                                                  5                                                  6 
                                                 0                                                 11                                                 12 
                                                 2                                                 11                                                 29 
                                                11                                                 13                                                 30 
                                                 8                                                  9                                                 10 
                                                 8                                                 15                                                 16 
                                                10                                                 15                                                 49 
                                                15                                                 17                                                 50 
                                                12                                                 13                                                 14 
                                                 4                                                 12                                                 19 
                                                14                                                 19                                                 73 
                                                 6                                                 19                                                 74 
                                                16                                                 17                                                 18 
                                                23                                                 24                                                 36 
                                                23                                                 25                                                 40 
                                                23                                                 37                                                 42 
                                                20                                                 21                                                 22 
                                                20                                                 27                                                 28 
                                                21                                                 27                                                 48 
                                                27                                                 30                                                 49 
                                                24                                                 25                                                 26 
                                                24                                                 31                                                 32 
                                                 9                                                 31                                                 33 
                                                10                                                 26                                                 31 
                                                28                                                 29                                                 30 
                                                28                                                 35                                                 36 
                                                29                                                 35                                                 53 
                                                35                                                 38                                                 54 
                                                32                                                 33                                                 34 
                                                20                                                 32                                                 39 
                                                22                                                 39                                                 76 
                                                34                                                 39                                                 78 
                                                36                                                 37                                                 38 
                                                21                                                 43                                                 44 
                                                43                                                 45                                                 64 
                                                22                                                 43                                                 65 
                                                40                                                 41                                                 42 
                                                40                                                 47                                                 48 
                                                41                                                 47                                                 72 
                                                47                                                 50                                                 73 
                                                44                                                 45                                                 46 
                                                25                                                 44                                                 51 
                                                13                                                 26                                                 51 
                                                14                                                 46                                                 51 
                                                48                                                 49                                                 50 
                                                 1                                                 55                                                 56 
                                                 2                                                 33                                                 55 
                                                34                                                 55                                                 58 
                                                52                                                 53                                                 54 
                                                52                                                 59                                                 60 
                                                59                                                 61                                                 77 
                                                54                                                 59                                                 78 
                                                56                                                 57                                                 58 
                                                 5                                                 56                                                 63 
                                                57                                                 63                                                 69 
                                                 6                                                 63                                                 70 
                                                60                                                 61                                                 62 
                                                41                                                 67                                                 68 
                                                42                                                 67                                                 76 
                                                67                                                 69                                                 77 
                                                64                                                 65                                                 66 
                                                64                                                 71                                                 72 
                                                61                                                 66                                                 71 
                                                62                                                 71                                                 74 
                                                68                                                 69                                                 70 
                                                45                                                 68                                                 75 
                                                17                                                 46                                                 75 
                                                18                                                 70                                                 75 
                                                72                                                 73                                                 74 
                                                37                                                 65                                                 79 
                                                57                                                 66                                                 79 
                                                38                                                 58                                                 79 
                                                76                                                 77                                                 78 
