                        0                         9    -5.097654580911613e+00
                        9                         1    -5.702672275533559e-01
                        1                         0    -6.891646105505514e+00
                        1                        10     6.493316298216723e-01
                       10                         2    -3.854387089092486e-01
                        2                         1    -2.557488057525460e-01
                        2                        11     3.969778483907982e-01
                       11                         3    -2.690908150285091e-01
                        3                         2    -1.185831910699232e-01
                        3                        12     2.677833708345934e-01
                       12                         4    -1.946489277614787e-01
                        4                         3    -6.314362083080027e-02
                        4                        13     1.887406330024947e-01
                       13                         5    -1.422707655938796e-01
                        5                         4    -3.647904516630008e-02
                        5                        14     1.347703324207877e-01
                       14                         6    -1.034715503356144e-01
                        6                         5    -2.199493979280891e-02
                        6                        15     9.592986111743686e-02
                       15                         7    -7.425536737646085e-02
                        7                         6    -1.353037858109649e-02
                        7                        16     6.746096730371202e-02
                       16                         8    -5.228530919547395e-02
                        8                         7    -8.372957719555926e-03
                        9                        17     8.773604073916731e-01
                       17                        10    -7.824214138789982e-01
                       10                         9    -8.679487835279533e-02
                       10                        18     4.720530065187851e-01
                       18                        11    -4.417844891244320e-01
                       11                        10    -2.063148742448181e-02
                       11                        19     3.071979704258160e-01
                       19                        12    -2.876259361456326e-01
                       12                        11    -8.805968347099654e-03
                       12                        20     2.143608903471412e-01
                       20                        13    -1.985803335905399e-01
                       13                        12    -4.588484281503219e-03
                       13                        21     1.529578125218194e-01
                       21                        14    -1.395787672208126e-01
                       14                        13    -2.612979367923759e-03
                       14                        22     1.091080953276782e-01
                       22                        15    -9.792040663305340e-02
                       15                        14    -1.550658724752319e-03
                       15                        23     7.692530889693319e-02
                       23                        16    -6.784511772533075e-02
                       16                        15    -9.360760117230325e-04
                       17                        24     2.058972098763207e-01
                       24                        18    -4.978694270012322e-01
                       18                        17     3.012760594172751e-01
                       18                        25     2.370672699572410e-01
                       25                        19    -3.503907977471418e-01
                       19                        18     1.240895937229850e-01
                       19                        26     1.957232288058058e-01
                       26                        20    -2.460012818118076e-01
                       20                        19     6.192476431959184e-02
                       20                        27     1.507513123533647e-01
                       27                        21    -1.733868406295943e-01
                       21                        20     3.428223958982118e-02
                       21                        28     1.123360837593555e-01
                       28                        22    -1.215437647437778e-01
                       22                        21     1.997374691750529e-02
                       22                        29     8.146705756386598e-02
                       29                        23    -8.406596506469352e-02
                       23                        22     1.190274979319104e-02
                       24                        30     7.790023907281707e-02
                       30                        25    -3.185981613334750e-01
                       25                        24     2.506887445029710e-01
                       25                        31     1.210874678386389e-01
                       31                        26    -2.532226828259784e-01
                       26                        25     1.433272874624371e-01
                       26                        32     1.181098056998381e-01
                       32                        27    -1.899079414131346e-01
                       27                        26     8.344484702688817e-02
                       27                        33     9.927363323837446e-02
