                        0                         3     1.256637061435917e+00
                        3                         0     4.069420168438488e+00
                        3                         5     2.812783107002558e+00
                        5                         3     5.622117121309348e+00
                        5                         0    -1.917705247306138e+00
                        0                         5     2.513274122871834e+00
                        3                        11    -9.571280773051908e-01
                       11                         3     1.884955592153872e+00
                       11                         0     3.141592653589793e+00
                        0                        11     0.000000000000000e+00
                        5                         8     3.108842998437532e+00
                        8                         5     3.174342308742054e+00
                        8                         0     1.917705247306138e+00
                        0                         8     3.769911184307753e+00
                        8                         9     6.610681858702246e-01
                        9                         8     3.470402200177016e+00
                        9                         0     2.213765138741088e+00
                        0                         9     5.026548245743665e+00
                        9                        11     9.571280773051736e-01
                       11                         9     4.398229715025703e+00
                        1                         2     1.256637061435919e+00
                        2                         1     4.098720730894974e+00
                        2                         6    -9.278275191807750e-01
                        6                         2     1.884955589447698e+00
                        6                         1     3.141592653589793e+00
                        1                         6     0.000000000000000e+00
                        2                         8     2.842083669459065e+00
                        8                         2     5.687616431613906e+00
                        8                         1    -1.852205937001610e+00
                        1                         8     2.513274122871833e+00
                        1                         5    -2.513274122871834e+00
                        5                         1     1.852205937001609e+00
                        5                        10     5.955688755656945e-01
                       10                         5     3.441101637720529e+00
                       10                         1     2.184464576284620e+00
                        1                        10     5.026548245743676e+00
                        6                        10    -1.884955602142372e+00
                       10                         6     9.278275104302014e-01
                        2                         4     3.288095465872074e-01
                        4                         2     3.802660839459988e+00
                        4                         6    -1.223887394942120e+00
                        6                         4     6.283185277389158e-01
                        4                         9     2.546023778024099e+00
                        9                         4     5.983676323048851e+00
                        9                         2    -1.556146045566656e+00
                        2                         9     1.585446608023136e+00
                       10                         3    -1.585446608023137e+00
                        3                        10     1.556146045566656e+00
                        3                         7     2.995089841307368e-01
                        7                         3     3.737161529155487e+00
                        7                        10     2.480524467719569e+00
                       10                         7     5.954375760592364e+00
                        7                        11    -1.289386716588184e+00
                       11                         7     6.283185307179591e-01
                        6                         7    -6.283185336970012e-01
                        7                         6     1.223887417625194e+00
                        7                         4    -3.274965515226136e-02
                        4                         7     3.274965515226125e-02
                       11                         4    -6.283185307179594e-01
                        4                        11     1.289386716588184e+00
