                                                 0                                                  1 
                                                 0                                                  2 
                                                 0                                                 13 
                                                 1                                                  4 
                                                 1                                                 15 
                                                 2                                                  3 
                                                 2                                                  7 
                                                 3                                                  4 
                                                 3                                                 12 
                                                 4                                                 18 
                                                 5                                                  6 
                                                 5                                                  9 
                                                 5                                                 10 
                                                 6                                                  7 
                                                 6                                                 12 
                                                 7                                                  8 
                                                 8                                                  9 
                                                 8                                                 13 
                                                 9                                                 19 
                                                10                                                 11 
                                                10                                                 16 
                                                11                                                 12 
                                                11                                                 18 
                                                13                                                 14 
                                                14                                                 15 
                                                14                                                 19 
                                                15                                                 17 
                                                16                                                 17 
                                                16                                                 19 
                                                17                                                 18 
