                                                 1                                                  3 
                                                 0                                                  1 
                                                 0                                                  3 
                                                 1                                                  4 
                                                 1                                                  2 
                                                 2                                                  4 
                                                 3                                                  4 
                                                 3                                                  5 
                                                 4                                                  5 
                                                 1                                                  6 
                                                 0                                                  6 
                                                 1                                                  7 
                                                 2                                                  7 
                                                 6                                                  7 
                                                 6                                                  8 
                                                 7                                                  8 
                                                 3                                                  9 
                                                 0                                                  9 
                                                 3                                                 10 
                                                 5                                                 10 
                                                 9                                                 10 
                                                 9                                                 11 
                                                10                                                 11 
                                                 9                                                 12 
                                                 0                                                 12 
                                                 9                                                 13 
                                                11                                                 13 
                                                12                                                 13 
                                                12                                                 14 
                                                13                                                 14 
                                                 6                                                 12 
                                                12                                                 15 
                                                14                                                 15 
                                                 6                                                 15 
                                                 8                                                 15 
                                                17                                                 19 
                                                16                                                 17 
                                                16                                                 19 
                                                17                                                 20 
                                                17                                                 18 
                                                18                                                 20 
                                                19                                                 20 
                                                19                                                 21 
                                                20                                                 21 
                                                17                                                 22 
                                                16                                                 22 
                                                17                                                 23 
                                                18                                                 23 
                                                22                                                 23 
                                                11                                                 22 
                                                11                                                 23 
                                                22                                                 24 
                                                16                                                 24 
                                                10                                                 24 
                                                 5                                                 24 
                                                10                                                 22 
                                                24                                                 25 
                                                16                                                 25 
                                                24                                                 26 
                                                 5                                                 26 
                                                25                                                 26 
                                                25                                                 27 
                                                26                                                 27 
                                                19                                                 25 
                                                19                                                 28 
                                                21                                                 28 
                                                25                                                 28 
                                                27                                                 28 
                                                20                                                 29 
                                                18                                                 29 
                                                29                                                 31 
                                                29                                                 30 
                                                30                                                 31 
                                                20                                                 31 
                                                21                                                 31 
                                                29                                                 32 
                                                18                                                 32 
                                                29                                                 33 
                                                30                                                 33 
                                                32                                                 33 
                                                14                                                 32 
                                                14                                                 33 
                                                23                                                 32 
                                                13                                                 23 
                                                13                                                 32 
                                                 4                                                 34 
                                                 2                                                 34 
                                                 4                                                 26 
                                                26                                                 34 
                                                27                                                 34 
                                                34                                                 35 
                                                 2                                                 35 
                                                35                                                 37 
                                                35                                                 36 
                                                36                                                 37 
                                                34                                                 37 
                                                27                                                 37 
                                                 7                                                 35 
                                                35                                                 38 
                                                36                                                 38 
                                                 7                                                 38 
                                                 8                                                 38 
                                                31                                                 39 
                                                30                                                 39 
                                                31                                                 40 
                                                21                                                 40 
                                                39                                                 40 
                                                36                                                 39 
                                                36                                                 40 
                                                39                                                 41 
                                                30                                                 41 
                                                38                                                 39 
                                                38                                                 41 
                                                 8                                                 41 
                                                33                                                 41 
                                                15                                                 33 
                                                15                                                 41 
                                                28                                                 40 
                                                37                                                 40 
                                                28                                                 37 
