                                                 1                                                  0                                                  2                                                  3                                                  4 
                                                 5                                                  6                                                  7                                                  8                                                  9 
                                                 6                                                  5                                                 10                                                 11                                                 12 
                                                 0                                                  1                                                 15                                                 14                                                 13 
                                                11                                                 10                                                 16                                                 17                                                 18 
                                                 2                                                  0                                                 13                                                  8                                                  7 
                                                 5                                                  9                                                 19                                                 16                                                 10 
                                                14                                                 15                                                 17                                                 16                                                 19 
                                                 3                                                  2                                                  7                                                  6                                                 12 
                                                 4                                                  3                                                 12                                                 11                                                 18 
                                                 9                                                  8                                                 13                                                 14                                                 19 
                                                 1                                                  4                                                 18                                                 17                                                 15 
