0 5.352629612170953e-02 -3.211968790384329e-01 3.256263187774273e-01
1 5.352629612178206e-02 -3.211968790384532e-01 3.256263187774591e-01
2 5.352629612178153e-02 3.211968790384506e-01 3.256263187774564e-01
3 5.352629612171100e-02 3.211968790384302e-01 3.256263187774248e-01
4 5.352629612170781e-02 -3.211968790384188e-01 3.256263187774130e-01
5 5.352629612178397e-02 -3.211968790384554e-01 3.256263187774616e-01
6 5.352629612170956e-02 3.211968790384299e-01 3.256263187774242e-01
7 5.352629612178238e-02 3.211968790384497e-01 3.256263187774558e-01
8 2.024374737736656e-01 -5.997542475203140e-01 6.329977000009729e-01
9 2.024374737738894e-01 -5.997542475201982e-01 6.329977000009348e-01
10 1.558704547410693e-01 -5.334133901295121e-01 5.557206523341083e-01
11 1.558704547409890e-01 -5.334133901298864e-01 5.557206523344451e-01
12 2.024374737738894e-01 -5.997542475201977e-01 6.329977000009341e-01
13 2.024374737736657e-01 -5.997542475203147e-01 6.329977000009736e-01
14 1.558704547410661e-01 -5.334133901295057e-01 5.557206523341013e-01
15 1.558704547409849e-01 -5.334133901298813e-01 5.557206523344390e-01
16 1.558704547950830e-01 -5.334133902150822e-01 5.557206524313935e-01
17 1.558704547951655e-01 -5.334133902147052e-01 5.557206524310547e-01
18 1.558704547951601e-01 -5.334133902147093e-01 5.557206524310572e-01
19 1.558704547950823e-01 -5.334133902150910e-01 5.557206524314018e-01
20 1.558704547950787e-01 5.334133902150739e-01 5.557206524313842e-01
21 1.558704547951593e-01 5.334133902146954e-01 5.557206524310435e-01
22 2.024374737738908e-01 5.997542475202043e-01 6.329977000009409e-01
23 2.024374737736666e-01 5.997542475203201e-01 6.329977000009790e-01
24 2.024374737738923e-01 5.997542475201947e-01 6.329977000009324e-01
25 2.024374737736623e-01 5.997542475203090e-01 6.329977000009671e-01
26 1.558704547951658e-01 5.334133902147062e-01 5.557206524310558e-01
27 1.558704547950790e-01 5.334133902150708e-01 5.557206524313814e-01
28 1.558704547410658e-01 5.334133901295098e-01 5.557206523341051e-01
29 1.558704547409844e-01 5.334133901298830e-01 5.557206523344405e-01
30 1.558704547410693e-01 5.334133901295123e-01 5.557206523341085e-01
31 1.558704547409875e-01 5.334133901298790e-01 5.557206523344375e-01
32 3.089199874896339e-01 -7.183274326993305e-01 7.819372476350048e-01
33 3.089199874895096e-01 -7.183274327003530e-01 7.819372476358949e-01
34 3.089199875286266e-01 -7.183274327380264e-01 7.819372476859576e-01
35 3.089199875287482e-01 -7.183274327369999e-01 7.819372476850628e-01
36 3.089199875286248e-01 7.183274327380189e-01 7.819372476859501e-01
37 3.089199875287506e-01 7.183274327370014e-01 7.819372476850650e-01
38 3.089199874896304e-01 7.183274326993243e-01 7.819372476349976e-01
39 3.089199874895081e-01 7.183274327003566e-01 7.819372476358977e-01
40 3.089199874896421e-01 -7.183274326993400e-01 7.819372476350167e-01
41 3.089199874895120e-01 -7.183274327003588e-01 7.819372476359012e-01
42 3.089199875286346e-01 -7.183274327380403e-01 7.819372476859736e-01
43 3.089199875287515e-01 -7.183274327369918e-01 7.819372476850567e-01
44 3.089199874896309e-01 7.183274326993347e-01 7.819372476350075e-01
45 3.089199874895059e-01 7.183274327003557e-01 7.819372476358959e-01
46 3.089199875286234e-01 7.183274327380283e-01 7.819372476859582e-01
47 3.089199875287481e-01 7.183274327369986e-01 7.819372476850615e-01
48 3.289971330022732e-01 -7.374079968533325e-01 8.074711557368225e-01
49 3.289971330022750e-01 -7.374079968533397e-01 8.074711557368297e-01
50 3.289971330029353e-01 -7.374079968509237e-01 8.074711557348924e-01
51 3.289971330733859e-01 -7.374079969169784e-01 8.074711558239202e-01
52 3.289971330029379e-01 -7.374079968509274e-01 8.074711557348969e-01
53 3.289971330733971e-01 -7.374079969169989e-01 8.074711558239435e-01
54 3.289971331438397e-01 -7.374079969830530e-01 8.074711559129674e-01
55 3.289971331445000e-01 -7.374079969806404e-01 8.074711559110331e-01
56 3.289971331438422e-01 -7.374079969830544e-01 8.074711559129696e-01
57 3.289971331445022e-01 -7.374079969806451e-01 8.074711559110382e-01
58 3.289971331438382e-01 7.374079969830556e-01 8.074711559129691e-01
59 3.289971331445009e-01 7.374079969806471e-01 8.074711559110396e-01
60 3.289971330022738e-01 7.374079968533410e-01 8.074711557368306e-01
61 3.289971330029351e-01 7.374079968509325e-01 8.074711557349006e-01
62 3.289971330733934e-01 -7.374079969169964e-01 8.074711558239397e-01
63 3.289971330733801e-01 -7.374079969169809e-01 8.074711558239202e-01
