                        0                   1.80644              -9.03663e-13
                        0               3.85844e-18              -2.95994e-15
                     0.25                  0.408739              -8.96018e-13
                     0.25               9.29039e-18              -2.95557e-15
                      0.5                   0.18647              -8.66074e-13
                      0.5               1.67173e-17              -2.94085e-15
                     0.75                  0.105528              -8.17529e-13
                     0.75               2.51947e-17              -2.92203e-15
                        1                 0.0663178              -7.56012e-13
                        1               3.15719e-17              -2.89094e-15
                     1.25                 0.0443138              -6.86991e-13
                     1.25               3.97021e-17                -2.852e-15
                      1.5                 0.0308144               -6.1504e-13
                      1.5               4.77856e-17              -2.80198e-15
                     1.75                  0.022028              -5.43655e-13
                     1.75               5.56645e-17              -2.74238e-15
                        2                  0.016066              -4.75304e-13
                        2               6.53033e-17              -2.67232e-15
                     2.25                 0.0118957              -4.11586e-13
                     2.25               7.51855e-17              -2.59123e-15
                      2.5                0.00891121              -3.53403e-13
                      2.5               8.54489e-17              -2.49851e-15
                     2.75                0.00673758              -3.01135e-13
                     2.75               9.54687e-17                -2.394e-15
                        3                0.00513293              -2.54791e-13
                        3               1.05936e-16              -2.27733e-15
                     3.25                0.00393583               -2.1412e-13
                     3.25               1.16548e-16              -2.14822e-15
                      3.5                 0.0030356              -1.78712e-13
                      3.5                1.2709e-16              -2.00665e-15
                     3.75                 0.0023547              -1.48063e-13
                     3.75               1.37439e-16              -1.85256e-15
                        4                0.00183789              -1.21625e-13
                        4               1.47455e-16              -1.68662e-15
                     4.25                0.00144524               -9.8843e-14
                     4.25               1.56945e-16              -1.50883e-15
                      4.5                0.00114767              -7.91697e-14
                      4.5               1.65668e-16              -1.32023e-15
                     4.75               0.000923884              -6.20851e-14
                     4.75               1.73535e-16              -1.12164e-15
                        5               0.000758325              -4.70972e-14
                        5               1.80171e-16               -9.1432e-16
                     5.25               0.000639733              -3.37454e-14
                     5.25               1.85609e-16              -6.99611e-16
                      5.5               0.000560189              -2.15952e-14
                      5.5               1.89549e-16               -4.7916e-16
                     5.75                0.00051445              -1.02357e-14
                     5.75               1.91966e-16              -2.54696e-16
                        6               0.000499527               7.29541e-16
                        6                1.9276e-16              -2.80706e-17
                     6.25                0.00051445               1.16887e-14
                     6.25                1.9194e-16               1.98799e-16
                      6.5               0.000560189               2.30297e-14
                      6.5               1.89495e-16               4.24006e-16
                     6.75               0.000639733               3.51498e-14
                     6.75               1.85501e-16               6.45614e-16
                        7               0.000758325               4.84607e-14
                        7               1.80091e-16               8.61877e-16
                     7.25               0.000923884               6.33978e-14
                     7.25               1.73353e-16               1.07113e-15
                      7.5                0.00114767               8.04232e-14
                      7.5               1.65529e-16               1.27203e-15
                     7.75                0.00144524                1.0003e-13
                     7.75               1.56734e-16               1.46317e-15
                        8                0.00183789               1.22741e-13
                        8               1.47237e-16               1.64379e-15
                     8.25                 0.0023547               1.49102e-13
                     8.25               1.37158e-16               1.81276e-15
                      8.5                 0.0030356               1.79673e-13
                      8.5               1.26773e-16               1.96998e-15
                     8.75                0.00393583               2.15001e-13
                     8.75               1.16227e-16               2.11447e-15
                        9                0.00513293               2.55591e-13
                        9               1.05601e-16               2.24685e-15
                     9.25                0.00673758               3.01857e-13
                     9.25               9.51771e-17               2.36653e-15
                      9.5                0.00891121               3.54046e-13
                      9.5                8.4801e-17               2.47445e-15
                     9.75                 0.0118957               4.12154e-13
                     9.75               7.46782e-17                2.5702e-15
                       10                  0.016066               4.75799e-13
                       10               6.47668e-17               2.65458e-15
                    10.25                  0.022028                5.4408e-13
                    10.25               5.55148e-17               2.72715e-15
                     10.5                 0.0308144               6.15397e-13
                     10.5               4.65325e-17               2.78973e-15
                    10.75                 0.0443138               6.87284e-13
                    10.75               3.74307e-17               2.84166e-15
                       11                 0.0663178               7.56243e-13
                       11               3.07585e-17               2.88392e-15
                    11.25                  0.105528               8.17699e-13
                    11.25               2.16004e-17               2.91684e-15
                     11.5                   0.18647               8.66186e-13
                     11.5               1.35216e-17               2.94105e-15
                    11.75                  0.408739               8.96074e-13
                    11.75               3.77905e-18               2.95515e-15
