1	2	0.
1	5	-1.884955592153873
1	7	-1.2566370614359201
1	9	1.884955592153873
1	10	1.2566370614359201
2	5	-1.2566370614359201
2	7	-1.884955592153873
2	11	-1.884955592153873
2	12	-1.2566370614359201
3	4	0.
3	6	1.884955592153873
3	8	1.2566370614359201
3	9	1.2566370614359201
3	10	1.884955592153873
4	6	1.2566370614359201
4	8	1.884955592153873
4	11	-1.2566370614359201
4	12	-1.884955592153873
5	6	0.
5	9	-1.884955592153873
5	11	-1.2566370614359201
6	9	-1.2566370614359201
6	11	-1.884955592153873
7	8	0.
7	10	1.884955592153873
7	12	1.2566370614359201
8	10	1.2566370614359201
8	12	1.884955592153873
9	10	0.
11	12	0.
