0	1	0.035626210336191455
0	2	-0.2709185204562133
0	13	0.19180308131468754
1	4	0.43410808961177094
1	15	-0.5774632512485829
2	3	-0.2709185204562198
2	7	0
3	4	-0.03562621033619163
3	12	-0.19180308131468754
4	18	0.5774632512485829
5	6	0.5774632512485829
5	9	-0.4341080896117709
5	10	0.035626210336194244
6	7	-1.3181160865539576
6	12	-2.8280352246202582
7	8	1.4901158596424512e-8
8	9	-0.7406528204041884
8	13	1.5099191529675067
9	19	1.7878503716007872
10	11	2.365313622849396
10	16	1.8417148472511151
11	12	0.5844759494257183
11	18	0.2709185204562059
13	14	-2.557116704164102
14	15	-3.4125111740459984
14	19	1.0471975511966076
15	17	2.888912398447693
16	17	0
16	19	0.5235987755983026
17	18	-0.2526802551420998
