# n_max = 40
9.999950652018582e-01 1.334130901581814e+02
9.999802608561371e-01 1.325841972738534e+02
9.999555871089498e-01 1.312103295334505e+02
9.999210442038161e-01 1.293028348303899e+02
9.998766324816606e-01 1.268774357861719e+02
9.998223523808090e-01 1.239540676052316e+02
9.997582044369840e-01 1.205566728340316e+02
9.996841892832999e-01 1.167129553926165e+02
9.996003076502565e-01 1.124540967130359e+02
9.995065603657316e-01 1.078144372496247e+02
9.994029483549729e-01 1.028311270170333e+02
9.992894726405892e-01 9.754374915726061e+01
9.991661343425401e-01 9.199392083337780e+01
9.990329346781247e-01 8.622487599128219e+01
9.988898749619700e-01 8.028103471881666e+01
9.987369566060175e-01 7.420756406188244e+01
9.985741811195098e-01 6.804993522837593e+01
9.984015501089750e-01 6.185348212202157e+01
9.982190652782118e-01 5.566296610013219e+01
9.980267284282716e-01 4.952215174194985e+01
9.978245414574415e-01 4.347339825029415e+01
9.976125063612252e-01 3.755727088996936e+01
9.973906252323237e-01 3.181217659571706e+01
9.971589002606139e-01 2.627402756346498e+01
9.969173337331280e-01 2.097593627594654e+01
9.966659280340299e-01 1.594794501190361e+01
9.964046856445924e-01 1.121679245261581e+01
9.961336091431725e-01 6.805719535875649e+00
9.958527012051857e-01 2.734316221871632e+00
9.955619646030800e-01 -9.815896659932304e-01
9.952614022063083e-01 -4.330000873250423e+00
9.949510169813002e-01 -7.302776281095507e+00
9.946308119914323e-01 -9.895613979617490e+00
9.943007903969989e-01 -1.210799271969386e+01
9.939609554551797e-01 -1.394307309989383e+01
9.936113105200084e-01 -1.540756030676700e+01
9.932518590423394e-01 -1.651153066126409e+01
9.928826045698137e-01 -1.726822462544589e+01
9.925035507468237e-01 -1.769380928741053e+01
9.921147013144779e-01 -1.780711366424221e+01
9.917160601105629e-01 -1.762934043918372e+01
9.913076310695066e-01 -1.718375797705389e+01
9.908894182223387e-01 -1.649537663894465e+01
9.904614256966512e-01 -1.559061354162740e+01
9.900236577165575e-01 -1.449694997803958e+01
9.895761186026509e-01 -1.324258573233289e+01
9.891188127719618e-01 -1.185609448675084e+01
9.886517447379141e-01 -1.036608442917492e+01
9.881749191102805e-01 -8.800868031321809e+00
9.876883405951378e-01 -7.188144780739307e+00
9.871920139948192e-01 -5.554700417975932e+00
9.866859442078680e-01 -3.926125957173912e+00
9.861701362289889e-01 -2.326559457949018e+00
9.856445951489980e-01 -7.784531733345552e-01
9.851093261547739e-01 6.976316723628844e-01
9.845643345292053e-01 2.083200615425086e+00
9.840096256511397e-01 3.361970744585032e+00
9.834452049953297e-01 4.519983525323290e+00
9.828710781323792e-01 5.545685057046839e+00
9.822872507286887e-01 6.429973591725714e+00
9.816937285463989e-01 7.166214565241789e+00
9.810905174433341e-01 7.750223804400719e+00
9.804776233729444e-01 8.180219968062794e+00
9.798550523842469e-01 8.456747655174444e+00
9.792228106217657e-01 8.582572961012811e+00
9.785809043254721e-01 8.562553581498964e+00
9.779293398307218e-01 8.403485850235981e+00
9.772681235681935e-01 8.113931340756919e+00
9.765972620638246e-01 7.704025874633508e+00
9.759167619387474e-01 7.185273942473821e+00
9.752266299092234e-01 6.570331667921201e+00
9.745268727865771e-01 5.872781523624417e+00
9.738174974771289e-01 5.106902042498181e+00
9.730985109821265e-01 4.287435757737021e+00
9.723699203976766e-01 3.429358551887142e+00
9.716317329146740e-01 2.547653500313058e+00
9.708839558187310e-01 1.657092159642246e+00
9.701265964901058e-01 7.720260797838090e-01
9.693596624036293e-01 -9.380888810151888e-02
9.685831611286311e-01 -9.274731522926400e-01
9.677971003288655e-01 -1.716986738454586e+00
9.670014877624350e-01 -2.451473660267763e+00
9.661963312817148e-01 -3.121285823494499e+00
9.653816388332739e-01 -3.718105303511770e+00
9.645574184577981e-01 -4.235024164868348e+00
9.637236782900097e-01 -4.666601324516771e+00
9.628804265585876e-01 -5.008896293277695e+00
9.620276715860859e-01 -5.259479958221920e+00
9.611654217888519e-01 -5.417422887493188e+00
9.602936856769431e-01 -5.483261944371079e+00
9.594124718540429e-01 -5.458946285068953e+00
9.585217890173758e-01 -5.347764081164485e+00
9.576216459576222e-01 -5.154251549334298e+00
9.567120515588304e-01 -4.884086085260288e+00
9.557930147983301e-01 -4.543965482700188e+00
9.548645447466430e-01 -4.141475370728392e+00
9.539266505673936e-01 -3.684947120515874e+00
9.529793415172189e-01 -3.183308556685953e+00
9.520226269456766e-01 -2.645929856731084e+00
9.510565162951535e-01 -2.082467035181586e+00
9.500810191007717e-01 -1.502705387669544e+00
9.490961449902946e-01 -9.164052147001005e-01
9.481019036840320e-01 -3.331520572714666e-01
9.470983049947443e-01 2.377864416502138e-01
9.460853588275453e-01 7.875950821050766e-01
9.450630751798048e-01 1.308035262704430e+00
9.440314641410498e-01 1.791557145318507e+00
9.429905358928644e-01 2.231398441113135e+00
9.419403007087906e-01 2.621668659691341e+00
9.408807689542255e-01 2.957417904819431e+00
9.398119510863197e-01 3.234689550375747e+00
9.387338576538741e-01 3.450556384951036e+00
9.376464992972356e-01 3.603140069126341e+00
9.365498867481923e-01 3.691614002105294e+00
9.354440308298674e-01 3.716189940426605e+00
9.343289424566120e-01 3.678088947436515e+00
9.332046326338986e-01 3.579497474773498e+00
9.320711124582109e-01 3.423509583277792e+00
9.309283931169358e-01 3.214056497744325e+00
9.297764858882513e-01 2.955824855378600e+00
9.286154021410173e-01 2.654165149641281e+00
9.274451533346613e-01 2.314991987703360e+00
9.262657510190666e-01 1.944677869723870e+00
9.250772068344580e-01 1.549942260739233e+00
9.238795325112867e-01 1.137737760701556e+00
9.226727398701148e-01 7.151351850973202e-01
9.214568408214985e-01 2.892093480288453e-01
9.202318473658704e-01 -1.330727075505258e-01
9.189977715934213e-01 -5.449593604022835e-01
9.177546256839811e-01 -9.400163668783481e-01
9.165024219068979e-01 -1.312221665197129e+00
9.152411726209175e-01 -1.656051709644820e+00
9.139708902740612e-01 -1.966558172077308e+00
9.126915874035028e-01 -2.239434018702610e+00
9.114032766354453e-01 -2.471068152650942e+00
9.101059706849957e-01 -2.658588004318410e+00
9.087996823560401e-01 -2.799889648845026e+00
9.074844245411169e-01 -2.893655230270820e+00
9.061602102212898e-01 -2.939357671812106e+00
9.048270524660196e-01 -2.937252848289834e+00
9.034849644330348e-01 -2.888359587086813e+00
9.021339593682028e-01 -2.794428045323142e+00
9.007740506053981e-01 -2.657897180608948e+00
8.994052515663711e-01 -2.481842188372051e+00
8.980275757606156e-01 -2.269912918224303e+00
8.966410367852359e-01 -2.026264403266597e+00
8.952456483248117e-01 -1.755480738079396e+00
8.938414241512638e-01 -1.462493622173925e+00
